Device: cuda
--> Splitting data using NTU X-Sub protocol...

=== Dataset Summary ===
Total folders: 10
Train files: 17732 | Val files: 8202
========================

--> No valid checkpoint found or RESUME_PATH is None. Training from scratch.
Starting training for 400 epochs...
Ep 57| LR: 9.77e-04 | Train Loss: 1.5487 | Train Acc: 81.33% | Val Acc: 81.66%
Ep 58| LR: 9.76e-04 | Train Loss: 1.5781 | Train Acc: 80.09% | Val Acc: 81.35%
Ep 59| LR: 9.74e-04 | Train Loss: 1.6106 | Train Acc: 79.61% | Val Acc: 80.38%
Ep 60| LR: 9.73e-04 | Train Loss: 1.4926 | Train Acc: 83.09% | Val Acc: 80.83%
Ep 61| LR: 9.72e-04 | Train Loss: 1.5059 | Train Acc: 82.33% | Val Acc: 79.65%
Ep 62| LR: 9.70e-04 | Train Loss: 1.5838 | Train Acc: 80.22% | Val Acc: 80.47%
Ep 63| LR: 9.69e-04 | Train Loss: 1.5080 | Train Acc: 82.40% | Val Acc: 80.79%
Ep 64| LR: 9.67e-04 | Train Loss: 1.5819 | Train Acc: 80.31% | Val Acc: 80.81%
Ep 65| LR: 9.66e-04 | Train Loss: 1.4965 | Train Acc: 82.34% | Val Acc: 80.81%
Ep 66| LR: 9.64e-04 | Train Loss: 1.5166 | Train Acc: 82.31% | Val Acc: 82.18%
Ep 67| LR: 9.63e-04 | Train Loss: 1.4603 | Train Acc: 84.00% | Val Acc: 81.65%
Ep 68| LR: 9.61e-04 | Train Loss: 1.4966 | Train Acc: 83.03% | Val Acc: 81.49%
Ep 69| LR: 9.60e-04 | Train Loss: 1.4727 | Train Acc: 83.27% | Val Acc: 82.31%
Ep 70| LR: 9.58e-04 | Train Loss: 1.4357 | Train Acc: 84.32% | Val Acc: 81.94%
Ep 71| LR: 9.56e-04 | Train Loss: 1.4883 | Train Acc: 83.63% | Val Acc: 81.25%
Ep 72| LR: 9.55e-04 | Train Loss: 1.5525 | Train Acc: 81.40% | Val Acc: 81.35%
Ep 73| LR: 9.53e-04 | Train Loss: 1.4434 | Train Acc: 85.00% | Val Acc: 81.49%
Ep 74| LR: 9.51e-04 | Train Loss: 1.4355 | Train Acc: 84.36% | Val Acc: 82.33%
Ep 75| LR: 9.49e-04 | Train Loss: 1.4841 | Train Acc: 83.65% | Val Acc: 83.20%
Ep 76| LR: 9.47e-04 | Train Loss: 1.4607 | Train Acc: 83.93% | Val Acc: 81.89%
Ep 77| LR: 9.46e-04 | Train Loss: 1.4787 | Train Acc: 83.11% | Val Acc: 82.22%
Ep 78| LR: 9.44e-04 | Train Loss: 1.4675 | Train Acc: 84.10% | Val Acc: 82.21%
Ep 79| LR: 9.42e-04 | Train Loss: 1.4974 | Train Acc: 82.64% | Val Acc: 82.39%
Ep 80| LR: 9.40e-04 | Train Loss: 1.5257 | Train Acc: 81.72% | Val Acc: 82.07%
Ep 81| LR: 9.38e-04 | Train Loss: 1.4964 | Train Acc: 83.17% | Val Acc: 82.47%
Ep 82| LR: 9.36e-04 | Train Loss: 1.4068 | Train Acc: 85.62% | Val Acc: 81.25%
Ep 83| LR: 9.34e-04 | Train Loss: 1.5301 | Train Acc: 82.68% | Val Acc: 82.41%
Ep 84| LR: 9.32e-04 | Train Loss: 1.4498 | Train Acc: 84.51% | Val Acc: 81.43%
Ep 85| LR: 9.30e-04 | Train Loss: 1.4224 | Train Acc: 85.06% | Val Acc: 83.44%
Ep 86| LR: 9.27e-04 | Train Loss: 1.4470 | Train Acc: 84.91% | Val Acc: 82.83%
Ep 87| LR: 9.25e-04 | Train Loss: 1.4844 | Train Acc: 83.12% | Val Acc: 81.93%
Ep 88| LR: 9.23e-04 | Train Loss: 1.5242 | Train Acc: 82.84% | Val Acc: 81.93%
Ep 89| LR: 9.21e-04 | Train Loss: 1.4802 | Train Acc: 84.05% | Val Acc: 81.71%
Ep 90| LR: 9.19e-04 | Train Loss: 1.3653 | Train Acc: 87.07% | Val Acc: 82.30%
Ep 91| LR: 9.16e-04 | Train Loss: 1.4143 | Train Acc: 85.88% | Val Acc: 83.31%
Ep 92| LR: 9.14e-04 | Train Loss: 1.4545 | Train Acc: 84.34% | Val Acc: 82.69%
Ep 93| LR: 9.12e-04 | Train Loss: 1.3440 | Train Acc: 87.76% | Val Acc: 83.41%
Ep 94| LR: 9.09e-04 | Train Loss: 1.3701 | Train Acc: 86.26% | Val Acc: 82.59%
Ep 95| LR: 9.07e-04 | Train Loss: 1.4645 | Train Acc: 84.92% | Val Acc: 83.08%
Ep 96| LR: 9.05e-04 | Train Loss: 1.4463 | Train Acc: 84.83% | Val Acc: 83.08%
Ep 97| LR: 9.02e-04 | Train Loss: 1.4350 | Train Acc: 84.88% | Val Acc: 82.92%
Ep 98| LR: 9.00e-04 | Train Loss: 1.4222 | Train Acc: 86.04% | Val Acc: 83.20%
Ep 99| LR: 8.97e-04 | Train Loss: 1.3804 | Train Acc: 85.87% | Val Acc: 83.17%
Ep 100| LR: 8.95e-04 | Train Loss: 1.4721 | Train Acc: 84.00% | Val Acc: 82.09%
Ep 101| LR: 8.92e-04 | Train Loss: 1.3697 | Train Acc: 86.85% | Val Acc: 83.97%
Ep 102| LR: 8.89e-04 | Train Loss: 1.4482 | Train Acc: 84.76% | Val Acc: 82.33%
Ep 103| LR: 8.87e-04 | Train Loss: 1.4606 | Train Acc: 84.25% | Val Acc: 82.49%
Ep 104| LR: 8.84e-04 | Train Loss: 1.5179 | Train Acc: 82.20% | Val Acc: 83.03%
Ep 105| LR: 8.82e-04 | Train Loss: 1.4005 | Train Acc: 85.70% | Val Acc: 83.35%
Ep 106| LR: 8.79e-04 | Train Loss: 1.4392 | Train Acc: 85.25% | Val Acc: 82.66%
Ep 107| LR: 8.76e-04 | Train Loss: 1.4237 | Train Acc: 85.29% | Val Acc: 83.97%
Ep 108| LR: 8.73e-04 | Train Loss: 1.4235 | Train Acc: 85.03% | Val Acc: 83.61%
Ep 109| LR: 8.71e-04 | Train Loss: 1.4062 | Train Acc: 85.78% | Val Acc: 84.08%
Ep 110| LR: 8.68e-04 | Train Loss: 1.4041 | Train Acc: 85.41% | Val Acc: 82.52%
Ep 111| LR: 8.65e-04 | Train Loss: 1.4479 | Train Acc: 85.46% | Val Acc: 82.99%
Ep 112| LR: 8.62e-04 | Train Loss: 1.4214 | Train Acc: 84.98% | Val Acc: 82.97%
Ep 113| LR: 8.59e-04 | Train Loss: 1.4151 | Train Acc: 85.58% | Val Acc: 82.81%
Ep 114| LR: 8.56e-04 | Train Loss: 1.3760 | Train Acc: 86.41% | Val Acc: 83.14%
Ep 115| LR: 8.54e-04 | Train Loss: 1.4137 | Train Acc: 85.49% | Val Acc: 83.21%
Ep 116| LR: 8.51e-04 | Train Loss: 1.3240 | Train Acc: 88.24% | Val Acc: 84.15%
Ep 117| LR: 8.48e-04 | Train Loss: 1.3632 | Train Acc: 86.40% | Val Acc: 83.28%
Ep 118| LR: 8.45e-04 | Train Loss: 1.3714 | Train Acc: 86.51% | Val Acc: 83.31%
Ep 119| LR: 8.42e-04 | Train Loss: 1.4366 | Train Acc: 84.99% | Val Acc: 82.98%
Ep 120| LR: 8.39e-04 | Train Loss: 1.3944 | Train Acc: 85.83% | Val Acc: 83.41%
Ep 121| LR: 8.36e-04 | Train Loss: 1.4189 | Train Acc: 85.21% | Val Acc: 83.21%
Ep 122| LR: 8.33e-04 | Train Loss: 1.3883 | Train Acc: 85.73% | Val Acc: 83.82%
Ep 123| LR: 8.29e-04 | Train Loss: 1.4054 | Train Acc: 86.17% | Val Acc: 83.92%
Ep 124| LR: 8.26e-04 | Train Loss: 1.3221 | Train Acc: 87.76% | Val Acc: 82.82%
Ep 125| LR: 8.23e-04 | Train Loss: 1.3320 | Train Acc: 87.80% | Val Acc: 83.83%
Ep 126| LR: 8.20e-04 | Train Loss: 1.3783 | Train Acc: 86.43% | Val Acc: 83.37%
Ep 127| LR: 8.17e-04 | Train Loss: 1.3946 | Train Acc: 86.42% | Val Acc: 83.50%
Ep 128| LR: 8.14e-04 | Train Loss: 1.3746 | Train Acc: 86.72% | Val Acc: 83.78%
Ep 129| LR: 8.10e-04 | Train Loss: 1.4711 | Train Acc: 84.92% | Val Acc: 83.05%
Ep 130| LR: 8.07e-04 | Train Loss: 1.4259 | Train Acc: 85.02% | Val Acc: 84.08%
Ep 131| LR: 8.04e-04 | Train Loss: 1.3802 | Train Acc: 85.84% | Val Acc: 83.81%
Ep 132| LR: 8.01e-04 | Train Loss: 1.4020 | Train Acc: 85.70% | Val Acc: 82.93%
Ep 133| LR: 7.97e-04 | Train Loss: 1.3053 | Train Acc: 87.99% | Val Acc: 83.91%
Ep 134| LR: 7.94e-04 | Train Loss: 1.4127 | Train Acc: 85.75% | Val Acc: 84.13%
Ep 135| LR: 7.91e-04 | Train Loss: 1.3521 | Train Acc: 86.71% | Val Acc: 84.83%
Ep 136| LR: 7.87e-04 | Train Loss: 1.4257 | Train Acc: 84.88% | Val Acc: 82.75%
Ep 137| LR: 7.84e-04 | Train Loss: 1.3687 | Train Acc: 86.08% | Val Acc: 83.35%
Ep 138| LR: 7.80e-04 | Train Loss: 1.4036 | Train Acc: 85.74% | Val Acc: 84.25%
Ep 139| LR: 7.77e-04 | Train Loss: 1.4055 | Train Acc: 85.28% | Val Acc: 83.83%
Ep 140| LR: 7.73e-04 | Train Loss: 1.3599 | Train Acc: 87.03% | Val Acc: 83.66%
Ep 141| LR: 7.70e-04 | Train Loss: 1.3038 | Train Acc: 87.87% | Val Acc: 84.55%
Ep 142| LR: 7.67e-04 | Train Loss: 1.3287 | Train Acc: 87.93% | Val Acc: 84.28%
Ep 143| LR: 7.63e-04 | Train Loss: 1.3910 | Train Acc: 85.92% | Val Acc: 83.61%
Ep 144| LR: 7.59e-04 | Train Loss: 1.2983 | Train Acc: 87.80% | Val Acc: 84.64%
