,drink water,eat meal/snack,brushing teeth,brushing hair,drop,pickup,throw,sit down,stand up,clapping,reading,writing,tear up paper,put on jacket,take off jacket,put on a shoe,take off a shoe,put on glasses,take off glasses,put on a hat/cap,take off a hat/cap,cheer up,hand waving,kicking something,reach into pocket,hopping,jump up,phone call,play with phone/tablet,type on a keyboard,point to something,taking a selfie,check time (from watch),rub two hands,nod head/bow,shake head,wipe face,salute,put palms together,cross hands in front,sneeze/cough,staggering,falling,headache,chest pain,back pain,neck pain,nausea/vomiting,fan self,punch/slap,kicking other person,pushing other person,pat on back,point finger at other,hugging other person,giving object to other,touch other person's pocket,shaking hands,walking towards each other,walking apart from each other
hand waving,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
kicking something,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reach into pocket,0,4,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,139,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jump up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone call,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
play with phone/tablet,1,1,0,0,5,0,0,0,0,2,23,14,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,98,6,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
type on a keyboard,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,123,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
point to something,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,120,29,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
taking a selfie,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,5,148,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
