epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
81,1.496383,1.272169,83.17,82.47,0.8277,0.8247,0.8222,97.48
82,1.406832,1.302465,85.62,81.25,0.8208,0.8125,0.8090,97.46
83,1.530089,1.263807,82.68,82.41,0.8292,0.8241,0.8218,97.29
84,1.449783,1.291571,84.51,81.43,0.8220,0.8144,0.8098,97.39
85,1.422378,1.229794,85.06,83.44,0.8373,0.8345,0.8321,97.83
86,1.446990,1.248805,84.91,82.83,0.8342,0.8284,0.8278,97.85
87,1.484444,1.294032,83.12,81.93,0.8250,0.8194,0.8160,97.37
88,1.524188,1.286935,82.84,81.93,0.8294,0.8193,0.8168,97.40
89,1.480205,1.292955,84.05,81.71,0.8245,0.8171,0.8150,97.28
90,1.365343,1.274641,87.07,82.30,0.8327,0.8229,0.8170,97.23
91,1.414342,1.233002,85.88,83.31,0.8364,0.8331,0.8322,97.74
92,1.454507,1.243059,84.34,82.69,0.8339,0.8269,0.8263,97.71
93,1.343982,1.232340,87.76,83.41,0.8376,0.8341,0.8306,97.48
94,1.370063,1.251660,86.26,82.59,0.8309,0.8260,0.8239,97.67
95,1.464473,1.246182,84.92,83.08,0.8341,0.8308,0.8294,97.66
96,1.446312,1.252737,84.83,83.08,0.8354,0.8308,0.8300,97.56
97,1.434957,1.247162,84.88,82.92,0.8338,0.8293,0.8255,97.33
98,1.422160,1.248233,86.04,83.20,0.8408,0.8320,0.8314,97.70
99,1.380360,1.229671,85.87,83.17,0.8375,0.8318,0.8284,97.54
100,1.472130,1.270711,84.00,82.09,0.8269,0.8209,0.8163,97.37
101,1.369655,1.235525,86.85,83.97,0.8427,0.8397,0.8366,97.56
102,1.448153,1.267165,84.76,82.33,0.8275,0.8234,0.8209,97.24
103,1.460570,1.266752,84.25,82.49,0.8321,0.8250,0.8236,97.26
104,1.517870,1.262927,82.20,83.03,0.8387,0.8304,0.8288,97.49
105,1.400497,1.250339,85.70,83.35,0.8378,0.8335,0.8309,97.33
106,1.439202,1.255968,85.25,82.66,0.8313,0.8267,0.8236,97.27
107,1.423695,1.226474,85.29,83.97,0.8406,0.8397,0.8369,97.31
108,1.423467,1.240400,85.03,83.61,0.8412,0.8362,0.8352,97.49
109,1.406224,1.221919,85.78,84.08,0.8467,0.8408,0.8392,97.51
110,1.404139,1.255393,85.41,82.52,0.8327,0.8252,0.8221,97.23
111,1.447922,1.248031,85.46,82.99,0.8326,0.8299,0.8278,97.42
112,1.421385,1.256562,84.98,82.97,0.8315,0.8297,0.8258,96.90
113,1.415140,1.255727,85.58,82.81,0.8312,0.8281,0.8254,97.42
114,1.375974,1.255268,86.41,83.14,0.8346,0.8314,0.8278,97.34
115,1.413682,1.238287,85.49,83.21,0.8378,0.8321,0.8302,97.42
116,1.323966,1.217251,88.24,84.15,0.8444,0.8416,0.8398,97.44
117,1.363209,1.250039,86.40,83.28,0.8389,0.8329,0.8320,97.44
118,1.371369,1.265673,86.51,83.31,0.8401,0.8331,0.8297,96.99
119,1.436553,1.251294,84.99,82.98,0.8396,0.8298,0.8288,97.59
120,1.394370,1.235081,85.83,83.41,0.8382,0.8341,0.8315,97.65
121,1.418939,1.258446,85.21,83.21,0.8368,0.8321,0.8278,97.23
122,1.388331,1.226590,85.73,83.82,0.8449,0.8382,0.8367,97.82
123,1.405420,1.225265,86.17,83.92,0.8450,0.8392,0.8364,97.29
124,1.322138,1.265376,87.76,82.82,0.8334,0.8282,0.8257,96.98
125,1.332040,1.225396,87.80,83.83,0.8408,0.8384,0.8359,97.90
126,1.378260,1.235780,86.43,83.37,0.8357,0.8337,0.8302,97.50
127,1.394619,1.237034,86.42,83.50,0.8397,0.8351,0.8328,97.09
128,1.374603,1.222010,86.72,83.78,0.8405,0.8379,0.8357,97.33
129,1.471065,1.240956,84.92,83.05,0.8384,0.8306,0.8300,97.51
130,1.425868,1.243115,85.02,84.08,0.8424,0.8408,0.8376,97.62
131,1.380174,1.247656,85.84,83.81,0.8437,0.8381,0.8363,97.29
132,1.402025,1.252059,85.70,82.93,0.8342,0.8294,0.8274,97.21
133,1.305336,1.220112,87.99,83.91,0.8413,0.8391,0.8363,97.57
134,1.412732,1.235272,85.75,84.13,0.8465,0.8413,0.8412,97.24
135,1.352102,1.203120,86.71,84.83,0.8507,0.8483,0.8468,97.81
136,1.425729,1.245309,84.88,82.75,0.8330,0.8275,0.8220,97.28
137,1.368698,1.223656,86.08,83.35,0.8365,0.8335,0.8297,97.48
138,1.403596,1.211346,85.74,84.25,0.8423,0.8425,0.8394,97.60
139,1.405486,1.229113,85.28,83.83,0.8398,0.8384,0.8357,97.65
140,1.359911,1.228756,87.03,83.66,0.8414,0.8366,0.8357,97.32
141,1.303824,1.224065,87.87,84.55,0.8475,0.8456,0.8423,97.51
142,1.328730,1.204122,87.93,84.28,0.8449,0.8429,0.8415,97.49
143,1.391035,1.244603,85.92,83.61,0.8415,0.8362,0.8333,97.39
144,1.298282,1.206753,87.80,84.64,0.8470,0.8464,0.8446,97.59
145,1.394051,1.232404,86.45,83.55,0.8451,0.8355,0.8333,97.61
146,1.350647,1.239413,87.20,83.64,0.8409,0.8364,0.8326,97.42
147,1.322143,1.228426,88.20,83.80,0.8393,0.8380,0.8343,97.54
148,1.413908,1.226658,85.43,83.52,0.8394,0.8352,0.8329,97.55
149,1.311302,1.271339,88.33,83.04,0.8345,0.8304,0.8259,97.12
150,1.369260,1.272559,86.73,84.35,0.8467,0.8435,0.8407,97.44
151,1.380249,1.209353,86.14,84.22,0.8478,0.8423,0.8409,97.51
152,1.356311,1.213614,87.55,84.63,0.8489,0.8463,0.8443,97.54
153,1.375560,1.219012,86.58,83.94,0.8454,0.8395,0.8357,97.34
154,1.346100,1.248333,86.37,83.60,0.8364,0.8361,0.8334,97.05
155,1.349841,1.219973,86.91,84.31,0.8449,0.8431,0.8408,97.34
156,1.323137,1.196659,87.27,85.00,0.8528,0.8501,0.8482,97.66
157,1.333757,1.236737,87.36,83.74,0.8413,0.8374,0.8354,97.29
158,1.328232,1.224215,88.17,83.64,0.8420,0.8364,0.8362,97.63
159,1.381385,1.221885,86.28,84.50,0.8472,0.8451,0.8430,97.42
160,1.302501,1.243956,88.08,83.03,0.8386,0.8304,0.8302,97.46
161,1.378966,1.220341,86.95,83.76,0.8401,0.8377,0.8358,97.49
162,1.337397,1.204231,87.38,84.74,0.8488,0.8474,0.8452,97.45
163,1.330400,1.231904,88.13,83.78,0.8410,0.8378,0.8339,97.43
164,1.307355,1.194151,89.10,84.87,0.8498,0.8487,0.8455,97.42
165,1.354435,1.252959,87.02,83.32,0.8388,0.8332,0.8309,97.43
166,1.337520,1.229797,87.99,84.19,0.8468,0.8419,0.8400,97.48
167,1.354403,1.204656,86.76,84.61,0.8510,0.8462,0.8441,97.61
168,1.316344,1.197304,87.53,84.81,0.8501,0.8481,0.8470,97.48
169,1.371458,1.236315,86.63,84.52,0.8485,0.8452,0.8424,97.39
170,1.392760,1.226081,85.82,83.85,0.8425,0.8385,0.8349,97.46
171,1.318900,1.209437,87.67,84.91,0.8485,0.8491,0.8467,97.44
172,1.282835,1.235029,88.68,83.75,0.8449,0.8375,0.8359,97.21
173,1.336466,1.259033,87.27,83.39,0.8413,0.8340,0.8330,97.32
174,1.318585,1.199721,88.33,84.49,0.8441,0.8449,0.8408,97.57
175,1.320487,1.188733,88.17,85.02,0.8508,0.8502,0.8478,97.79
176,1.390853,1.249459,87.39,84.55,0.8492,0.8455,0.8437,97.26
177,1.245363,1.193485,89.80,84.78,0.8482,0.8479,0.8456,97.61
178,1.337170,1.214184,87.77,84.99,0.8532,0.8499,0.8485,97.22
179,1.406017,1.212454,85.86,84.61,0.8501,0.8462,0.8445,97.60
180,1.253652,1.222847,89.87,83.89,0.8405,0.8390,0.8369,97.26
181,1.312849,1.237897,88.02,84.36,0.8493,0.8436,0.8400,97.24
182,1.305802,1.224527,88.59,84.48,0.8489,0.8448,0.8436,97.45
183,1.289760,1.200764,88.78,84.67,0.8502,0.8468,0.8457,97.46
184,1.270871,1.191554,89.01,85.49,0.8551,0.8550,0.8516,97.40
185,1.303852,1.214569,88.44,84.92,0.8519,0.8492,0.8466,97.32
186,1.325382,1.222837,87.77,84.08,0.8434,0.8408,0.8381,97.29
187,1.283265,1.225933,88.58,85.17,0.8558,0.8518,0.8500,97.29
188,1.327115,1.200783,87.81,84.85,0.8518,0.8485,0.8454,97.29
189,1.321404,1.234501,88.00,83.66,0.8412,0.8367,0.8344,97.27
190,1.250156,1.233494,89.94,83.96,0.8430,0.8396,0.8372,97.44
191,1.292064,1.225023,88.83,84.83,0.8514,0.8483,0.8464,97.33
192,1.302710,1.222548,89.03,84.60,0.8460,0.8461,0.8423,97.10
193,1.302808,1.187251,88.96,85.37,0.8557,0.8537,0.8518,97.68
194,1.358854,1.208642,87.08,84.27,0.8456,0.8428,0.8417,97.67
195,1.286556,1.211584,88.39,85.03,0.8519,0.8504,0.8482,97.20
196,1.320288,1.199412,88.45,85.00,0.8530,0.8500,0.8488,97.83
197,1.280631,1.189321,89.19,85.45,0.8587,0.8546,0.8530,97.49
198,1.330116,1.258843,87.81,83.37,0.8396,0.8337,0.8318,97.28
199,1.304990,1.217068,89.06,84.77,0.8482,0.8477,0.8451,97.50
200,1.259411,1.197241,89.32,84.75,0.8484,0.8475,0.8452,97.50
201,1.282111,1.210934,88.44,84.81,0.8483,0.8481,0.8454,97.39
202,1.305442,1.203867,88.47,84.75,0.8482,0.8475,0.8454,97.51
203,1.247784,1.204018,90.58,85.11,0.8521,0.8512,0.8485,97.45
