epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
355,1.151323,1.166959,92.65,86.83,0.8691,0.8683,0.8660,97.61
356,1.167903,1.154208,91.03,87.20,0.8714,0.8720,0.8701,97.62
357,1.182456,1.158419,91.63,86.89,0.8696,0.8689,0.8671,97.52
358,1.226716,1.165260,90.43,87.17,0.8727,0.8718,0.8700,97.63
359,1.183276,1.166443,91.76,87.13,0.8721,0.8713,0.8693,97.57
360,1.156764,1.199763,92.63,86.88,0.8701,0.8688,0.8673,97.51
361,1.161811,1.149130,92.87,87.11,0.8711,0.8712,0.8695,97.67
362,1.173514,1.159053,91.41,86.98,0.8698,0.8698,0.8679,97.48
363,1.185860,1.149585,91.24,87.11,0.8708,0.8711,0.8692,97.65
364,1.188340,1.143454,91.07,87.42,0.8739,0.8742,0.8724,97.67
365,1.161908,1.180512,91.46,86.92,0.8693,0.8692,0.8669,97.51
366,1.143583,1.152319,92.45,87.21,0.8719,0.8721,0.8700,97.71
367,1.135396,1.167012,92.66,87.00,0.8705,0.8700,0.8683,97.66
368,1.139727,1.159185,92.68,87.09,0.8710,0.8709,0.8690,97.57
369,1.220196,1.174087,91.03,87.00,0.8699,0.8700,0.8678,97.49
370,1.108332,1.159784,93.12,86.98,0.8701,0.8698,0.8679,97.57
371,1.190298,1.159382,91.86,87.04,0.8704,0.8704,0.8683,97.51
372,1.143092,1.154295,93.00,87.03,0.8700,0.8703,0.8682,97.55
373,1.145637,1.180707,92.65,86.87,0.8689,0.8687,0.8665,97.50
374,1.130573,1.155857,92.75,87.19,0.8719,0.8719,0.8696,97.60
375,1.165984,1.150673,92.57,87.23,0.8724,0.8724,0.8701,97.65
376,1.127211,1.162424,93.29,87.05,0.8703,0.8705,0.8683,97.56
377,1.140039,1.157146,93.27,87.20,0.8719,0.8720,0.8699,97.67
378,1.190745,1.150712,91.04,87.11,0.8708,0.8711,0.8691,97.73
379,1.110572,1.154923,93.29,87.05,0.8703,0.8705,0.8684,97.63
380,1.129250,1.151940,93.15,87.09,0.8708,0.8709,0.8688,97.62
381,1.159854,1.170311,91.21,87.10,0.8713,0.8710,0.8689,97.61
382,1.168104,1.151377,91.57,87.11,0.8709,0.8711,0.8689,97.66
383,1.129989,1.156425,92.72,87.09,0.8712,0.8709,0.8688,97.61
384,1.099959,1.151720,93.50,87.08,0.8706,0.8708,0.8686,97.72
385,1.170541,1.153902,92.05,87.08,0.8708,0.8708,0.8686,97.61
386,1.222639,1.151697,90.63,87.13,0.8715,0.8713,0.8692,97.56
387,1.142216,1.152167,92.99,87.31,0.8731,0.8731,0.8710,97.62
388,1.204493,1.178369,90.63,86.92,0.8692,0.8692,0.8668,97.51
389,1.104337,1.153582,93.63,87.04,0.8701,0.8704,0.8683,97.62
390,1.143992,1.172898,92.88,86.97,0.8701,0.8697,0.8675,97.51
391,1.167554,1.160009,91.87,87.09,0.8709,0.8709,0.8687,97.67
392,1.116283,1.156708,93.28,87.11,0.8713,0.8711,0.8690,97.62
393,1.157787,1.148773,92.17,87.10,0.8710,0.8710,0.8691,97.71
394,1.127172,1.152873,92.67,87.08,0.8709,0.8708,0.8685,97.62
395,1.161150,1.169994,91.55,86.97,0.8697,0.8697,0.8675,97.61
396,1.105333,1.151911,92.75,87.17,0.8716,0.8718,0.8699,97.63
397,1.161210,1.151457,91.83,87.23,0.8720,0.8724,0.8702,97.63
398,1.184059,1.150731,91.08,87.16,0.8714,0.8716,0.8695,97.65
399,1.191498,1.154337,91.90,87.09,0.8709,0.8709,0.8686,97.59
400,1.090154,1.153070,93.19,87.05,0.8703,0.8705,0.8684,97.62
