epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
1,4.121836,4.109772,1.83,1.63,0.0106,0.0141,0.0048,8.24
2,3.664982,3.501227,7.25,10.96,0.1195,0.1096,0.0674,36.19
3,3.274415,3.236432,15.66,15.57,0.1534,0.1558,0.1128,49.38
4,2.800671,2.637782,28.10,32.00,0.3336,0.3203,0.2823,73.14
5,2.452823,2.363466,39.14,41.06,0.4566,0.4108,0.3684,81.16
6,2.220587,2.197813,47.19,46.50,0.4892,0.4651,0.4365,86.42
7,2.039689,2.103843,52.96,50.95,0.5395,0.5096,0.4976,87.78
8,1.905499,1.868643,58.06,57.86,0.6055,0.5787,0.5619,91.78
9,1.778650,1.985851,62.33,53.78,0.6142,0.5379,0.5307,90.31
10,1.680881,1.818921,66.59,61.17,0.6598,0.6117,0.6007,92.54
11,1.594635,1.713452,69.52,63.70,0.6683,0.6371,0.6361,94.62
12,1.517558,1.638253,72.96,68.13,0.7227,0.6814,0.6797,95.22
13,1.464475,1.585224,74.80,69.91,0.7292,0.6992,0.6965,95.79
14,1.404730,1.489419,76.61,73.68,0.7492,0.7368,0.7325,96.03
15,1.365837,1.531631,78.47,71.82,0.7359,0.7183,0.7096,95.78
16,1.321259,1.537018,80.09,72.07,0.7477,0.7208,0.7187,95.73
17,1.297427,1.456664,80.66,75.15,0.7621,0.7516,0.7464,96.50
18,1.255609,1.495352,82.54,73.84,0.7495,0.7384,0.7325,96.07
19,1.248190,1.506311,82.92,72.95,0.7564,0.7295,0.7274,96.48
20,1.228382,1.487294,83.34,73.23,0.7462,0.7324,0.7252,95.92
21,1.198549,1.423037,84.41,76.60,0.7756,0.7661,0.7619,96.45
22,1.182524,1.460640,85.46,75.14,0.7701,0.7514,0.7463,96.42
23,1.166956,1.427727,85.61,76.21,0.7829,0.7622,0.7541,96.87
24,1.156611,1.396029,86.03,76.91,0.7795,0.7692,0.7649,96.98
25,1.127024,1.384073,86.81,78.02,0.7907,0.7803,0.7775,96.84
26,1.132917,1.371997,86.94,78.38,0.7908,0.7839,0.7775,96.79
27,1.105110,1.475693,88.58,75.85,0.7761,0.7586,0.7561,96.26
28,1.094204,1.428810,88.68,76.57,0.7781,0.7658,0.7614,96.15
29,1.075343,1.343545,89.35,79.32,0.8016,0.7933,0.7903,96.73
30,1.056909,1.386776,89.80,78.90,0.7958,0.7890,0.7857,96.06
31,1.036834,1.373707,90.49,78.20,0.7917,0.7821,0.7774,96.56
32,1.024793,1.383278,91.27,78.93,0.7933,0.7894,0.7864,96.12
